# Station Code,onto
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,LAWN,ONYN,PAST,POP1,POP2,POP3,POTA,POTS,PPMT,SGRN,WGRN,WGRP
09/06,0.183,0.216,0.172,,0.182,0.188,0.173,0.165,0.141,0.136,0.202,0.216,0.158,,,,0.15,0.142
09/07,0.202,0.236,0.183,,0.197,0.208,0.188,0.19,0.153,0.15,0.22,0.236,0.169,,,,0.18,0.154
09/08,0.231,0.272,0.208,,0.227,0.234,0.218,0.265,0.175,0.173,0.254,0.272,0.188,,,,0.33,0.176
09/09,0.224,0.261,0.195,,0.215,0.224,0.209,0.185,0.167,0.165,0.245,0.261,0.182,,,,0.17,0.171
09/10,0.208,0.245,0.182,,0.2,0.212,0.195,0.165,0.158,0.155,0.23,0.245,0.163,,,,0.12,0.16
09/11,0.215,0.253,0.184,,0.207,0.216,0.204,0.175,0.161,0.162,0.238,0.253,0.17,,,,0.11,0.165
09/12,0.184,0.217,0.154,,0.175,0.186,0.174,0.115,0.138,0.138,0.205,0.217,0.141,,,,0.08,0.142
09/13,0.189,0.223,0.152,,0.181,0.195,0.179,0.06,0.141,0.143,0.211,0.223,0.154,,,,0.1,0.144
09/14,0.188,0.221,0.149,,0.176,0.189,0.177,0.11,0.14,0.142,0.209,0.221,0.147,,,,0.1,0.142
09/15,0.179,0.211,0.139,,0.167,0.14,0.168,0.16,0.132,0.136,0.201,0.211,0.097,,,,0.14,0.108
09/16,0.183,0.214,0.139,,0.169,0.191,0.171,0.1,0.134,0.138,0.202,0.214,0.158,,,,0.09,0.145
09/17,0.167,0.196,0.125,,0.152,0.167,0.155,0.14,0.121,0.128,0.186,0.196,0.122,,,,0.13,0.125
09/18,0.155,0.182,0.111,,0.141,0.139,0.145,0.1,0.112,0.118,0.174,0.182,0.105,,,,0.09,0.122
09/19,0.181,0.212,0.126,,0.162,0.171,0.17,0.11,0.13,0.139,0.202,0.212,0.122,,,,0.1,0.144
09/20,0.182,0.215,0.123,,0.163,0.148,0.173,0.0,0.131,0.142,0.205,0.215,0.111,,,,0.11,0.04
09/21,0.161,0.188,0.104,,0.142,0.14,0.151,,0.115,0.125,0.178,0.188,0.109,,,,0.1,0.1
09/22,0.148,0.175,0.094,,0.132,0.136,0.142,,0.106,0.116,0.168,0.175,0.093,,,,0.08,0.093
09/23,0.17,0.199,0.102,,0.148,0.164,0.159,,0.119,0.134,0.192,0.199,0.104,,,,0.07,0.1
09/24,0.162,0.19,0.095,,0.139,0.156,0.151,,0.112,0.127,0.181,0.19,0.097,,,,0.08,0.103
09/25,0.164,0.192,0.083,,0.13,0.054,0.155,,0.114,0.128,0.185,0.192,0.0,,,,0.07,0.0
09/26,0.162,0.19,0.095,,0.139,0.165,0.152,,0.109,0.127,0.184,0.19,,,,,0.08,
09/27,0.17,0.201,0.094,,0.145,0.155,0.16,,0.113,0.133,0.195,0.201,,,,,0.08,
09/28,0.153,0.183,0.084,,0.128,0.19,0.145,,0.099,0.123,0.181,0.183,,,,,0.09,
09/29,0.131,0.154,0.066,,0.104,0.125,0.124,,0.082,0.105,0.153,0.154,,,,,0.1,
09/30,0.144,0.168,0.026,,0.015,0.0,0.134,,0.086,0.115,0.168,0.168,,,,,0.09,
10/01,0.136,0.159,0.073,,0.115,,0.128,,0.082,0.11,0.159,0.159,,,,,0.06,
10/02,0.152,0.178,0.065,,0.095,,0.144,,0.089,0.122,0.178,0.178,,,,,0.06,
10/03,0.155,0.182,0.07,,0.1,,0.146,,0.087,0.126,0.182,0.182,,,,,0.06,
10/04,0.11,0.13,0.048,,0.08,,0.105,,0.062,0.09,0.13,0.13,,,,,0.05,
10/05,0.103,0.121,0.0,,0.0,,0.097,,0.056,0.083,0.121,0.121,,,,,0.05,
10/06,0.111,0.131,,,,,0.105,,0.058,0.093,0.131,0.131,,,,,0.04,
10/07,0.123,0.145,,,,,0.115,,0.064,0.099,0.145,0.145,,,,,0.05,
10/08,0.112,0.133,,,,,0.106,,0.058,0.092,0.133,0.133,,,,,0.04,
10/09,0.133,0.157,,,,,0.125,,0.065,0.108,0.157,0.157,,,,,0.04,
10/10,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,
