# Station Code,legw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,ASPA,BEAN,BLGR,CGRP,FCRN,LAWN,ONYN,PAST,PEAS,POTA,POTS,SCRN,SGRN,WGRN,WGRP
09/04,0.181,0.213,0.178,0.214,0.06,,0.182,0.182,0.172,0.1,0.142,,0.13,,,,,0.139
09/05,0.193,0.227,0.187,0.229,0.0,,0.164,0.171,0.182,0.0,0.15,,0.057,,,,,0.15
09/06,0.169,0.198,0.161,0.199,,,0.181,0.176,0.159,,0.131,,0.15,,,,,0.128
09/07,0.185,0.218,0.173,0.22,,,0.19,0.194,0.174,,0.143,,0.16,,,,,0.143
09/08,0.189,0.223,0.172,0.224,,,0.19,0.19,0.179,,0.147,,0.14,,,,,0.146
09/09,0.186,0.218,0.169,0.221,,,0.196,0.181,0.175,,0.143,,0.16,,,,,0.144
09/10,0.174,0.205,0.152,0.157,,,0.067,0.116,0.163,,0.134,,0.15,,,,,0.122
09/11,0.168,0.199,0.147,0.197,,,0.17,0.167,0.159,,0.129,,0.16,,,,,0.132
09/12,0.175,0.206,0.153,0.201,,,0.19,0.171,0.164,,0.133,,0.17,,,,,0.14
09/13,0.166,0.195,0.142,0.188,,,0.16,0.151,0.157,,0.126,,0.2,,,,,0.131
09/14,0.153,0.181,0.129,0.178,,,0.163,0.15,0.145,,0.117,,0.18,,,,,0.115
09/15,0.164,0.192,0.136,0.117,,,0.055,0.056,0.153,,0.122,,0.2,,,,,0.105
09/16,0.157,0.182,0.128,0.177,,,0.19,0.175,0.145,,0.116,,0.17,,,,,0.11
09/17,0.139,0.163,0.113,0.167,,,0.12,0.195,0.13,,0.104,,0.1,,,,,0.102
09/18,0.149,0.177,0.114,0.188,,,0.18,0.19,0.142,,0.112,,0.15,,,,,0.117
09/19,0.158,0.185,0.118,0.188,,,0.14,0.145,0.148,,0.118,,0.12,,,,,0.121
09/20,0.156,0.184,0.113,0.028,,,0.14,0.075,0.147,,0.118,,0.12,,,,,0.027
09/21,0.125,0.148,0.093,0.18,,,0.15,0.16,0.116,,0.093,,0.12,,,,,0.073
09/22,0.149,0.176,0.11,0.24,,,0.2,0.21,0.142,,0.112,,0.16,,,,,0.117
09/23,0.144,0.167,0.103,0.22,,,0.19,0.19,0.135,,0.103,,0.15,,,,,0.09
09/24,0.143,0.169,0.102,0.19,,,0.16,0.17,0.136,,0.105,,0.12,,,,,0.097
09/25,0.137,0.16,0.093,0.15,,,0.13,0.13,0.128,,0.097,,0.09,,,,,0.0
09/26,0.145,0.171,0.093,0.16,,,0.14,0.14,0.138,,0.104,,0.1,,,,,
09/27,0.135,0.159,0.088,0.17,,,0.14,0.15,0.128,,0.097,,0.1,,,,,
09/28,0.131,0.153,0.08,0.16,,,0.14,0.14,0.123,,0.092,,0.09,,,,,
09/29,0.123,0.145,0.071,0.14,,,0.12,0.12,0.116,,0.085,,0.08,,,,,
09/30,0.138,0.162,0.078,0.15,,,0.13,0.13,0.128,,0.094,,0.08,,,,,
10/01,0.114,0.135,0.052,0.12,,,0.1,0.1,0.108,,0.078,,0.0,,,,,
10/02,0.131,0.155,0.071,0.13,,,0.11,0.11,0.123,,0.09,,,,,,,
10/03,0.115,0.137,0.064,0.13,,,0.11,0.11,0.11,,0.077,,,,,,,
10/04,0.115,0.136,0.062,0.12,,,0.1,0.1,0.109,,0.075,,,,,,,
10/05,0.108,0.127,0.011,0.06,,,0.05,0.05,0.102,,0.068,,,,,,,
10/06,0.118,0.138,0.05,0.06,,,0.05,0.05,0.111,,0.071,,,,,,,
10/07,0.115,0.135,0.065,0.12,,,0.1,0.1,0.108,,0.07,,,,,,,
10/08,0.103,0.122,0.065,0.11,,,0.09,0.09,0.098,,0.062,,,,,,,
10/09,0.105,0.122,0.045,0.07,,,0.06,0.06,0.098,,0.061,,,,,,,
10/10,0.117,0.135,0.04,0.05,,,0.04,0.04,0.108,,0.066,,,,,,,
10/11,0.114,0.132,0.08,0.18,,,0.15,0.15,0.104,,0.061,,,,,,,
10/12,0.098,0.115,0.06,0.13,,,0.11,0.11,0.093,,0.055,,,,,,,
10/13,0.093,0.11,0.04,0.06,,,0.05,0.05,0.088,,0.052,,,,,,,
10/14,0.101,0.118,0.04,0.08,,,0.07,0.06,0.094,,0.052,,,,,,,
10/15,0.02,0.024,0.015,0.05,,,0.04,0.0,0.029,,0.017,,,,,,,
10/16,0.077,0.087,0.04,0.07,,,0.06,,0.07,,0.053,,,,,,,
10/17,0.093,0.107,0.05,0.09,,,0.08,,0.08,,0.057,,,,,,,
10/18,0.093,0.11,0.04,0.07,,,0.06,,0.085,,0.063,,,,,,,
10/19,0.063,0.073,0.05,0.09,,,0.08,,0.062,,0.04,,,,,,,
10/20,0.063,0.073,0.04,0.0,,,0.06,,0.065,,0.043,,,,,,,
10/21,0.063,0.073,0.04,,,,0.07,,0.055,,0.033,,,,,,,
10/22,0.123,0.143,0.08,,,,0.13,,0.103,,0.057,,,,,,,
10/23,0.07,0.08,0.04,,,,0.07,,0.06,,0.04,,,,,,,
10/24,0.1,0.12,0.05,,,,0.09,,0.087,,0.053,,,,,,,
10/25,0.11,0.127,0.04,,,,0.0,,0.098,,0.063,,,,,,,
10/26,0.08,0.093,0.03,,,,,,0.09,,0.053,,,,,,,
10/27,0.05,0.06,0.03,,,,,,0.068,,0.04,,,,,,,
10/28,0.087,0.103,0.02,,,,,,0.092,,0.057,,,,,,,
10/29,0.077,0.09,0.02,,,,,,0.068,,0.037,,,,,,,
10/30,0.04,0.05,0.0,,,,,,0.0,,0.0,,,,,,,
10/31,0.08,0.09,,,,,,,,,,,,,,,,
11/01,0.0,0.0,,,,,,,,,,,,,,,,
