# Station Code,gerw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,HAYM,HAYP,LAWN,PAST,PEAS,POTA,PPMT,SCRN,SGRN,WGRN
09/24,0.121,0.143,0.074,,0.112,,0.109,0.12,0.115,0.085,,,,0.12,0.05,0.05
09/25,0.115,0.136,0.057,,0.104,,0.104,0.115,0.108,0.08,,,,0.1,0.05,0.05
09/26,0.139,0.163,0.081,,0.124,,0.123,0.138,0.129,0.094,,,,0.1,0.06,0.06
09/27,0.125,0.145,0.067,,0.108,,0.108,0.123,0.117,0.082,,,,0.13,0.06,0.06
09/28,0.112,0.133,0.057,,0.098,,0.099,0.112,0.107,0.072,,,,0.12,0.04,0.04
09/29,0.12,0.142,0.058,,0.103,,0.105,0.119,0.112,0.076,,,,0.11,0.04,0.04
09/30,0.12,0.141,0.024,,0.092,,0.103,0.117,0.114,0.073,,,,0.0,0.04,0.04
10/01,0.115,0.134,0.058,,0.067,,0.098,0.112,0.107,0.068,,,,,0.04,0.04
10/02,0.113,0.133,0.055,,0.097,,0.098,0.112,0.106,0.066,,,,,0.05,0.05
10/03,0.105,0.122,0.045,,0.078,,0.089,0.103,0.097,0.058,,,,,0.03,0.03
10/04,0.1,0.116,0.05,,0.086,,0.085,0.097,0.092,0.055,,,,,0.03,0.03
10/05,0.093,0.108,0.0,,0.024,,0.079,0.09,0.088,0.05,,,,,0.03,0.03
10/06,0.099,0.115,,,0.07,,0.083,0.095,0.092,0.054,,,,,0.03,0.03
10/07,0.103,0.122,,,0.085,,0.088,0.101,0.098,0.052,,,,,0.03,0.03
10/08,0.093,0.108,,,0.105,,0.076,0.089,0.086,0.047,,,,,0.03,0.03
10/09,0.085,0.098,,,0.085,,0.069,0.081,0.078,0.041,,,,,0.02,0.02
10/10,0.0,0.0,,,0.06,,0.076,0.088,0.0,0.0,,,,,0.0,0.0
10/11,,,,,0.06,,0.085,0.101,,,,,,,,
10/12,,,,,0.04,,0.062,0.075,,,,,,,,
10/13,,,,,0.06,,0.062,0.072,,,,,,,,
10/14,,,,,0.05,,0.07,0.083,,,,,,,,
10/15,,,,,0.0,,0.052,0.061,,,,,,,,
10/16,,,,,,,0.059,0.07,,,,,,,,
10/17,,,,,,,0.065,0.078,,,,,,,,
10/18,,,,,,,0.058,0.071,,,,,,,,
10/19,,,,,,,0.055,0.066,,,,,,,,
10/20,,,,,,,0.053,0.066,,,,,,,,
10/21,,,,,,,0.042,0.051,,,,,,,,
10/22,,,,,,,0.054,0.068,,,,,,,,
10/23,,,,,,,0.047,0.058,,,,,,,,
10/24,,,,,,,0.043,0.054,,,,,,,,
10/25,,,,,,,0.049,0.064,,,,,,,,
10/26,,,,,,,0.044,0.055,,,,,,,,
10/27,,,,,,,0.043,0.052,,,,,,,,
10/28,,,,,,,0.043,0.051,,,,,,,,
10/29,,,,,,,0.037,0.046,,,,,,,,
10/30,,,,,,,0.0,0.0,,,,,,,,
