# Station Code,chaw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:28
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,ALHM,ALHP,FCRN,GRSD,GRSF,HAYM,HAYP,LAWN,PAST,POP1,POP2,POP3,RAPE,RAPF,SGRN,WGRN
09/26,0.107,0.124,0.109,0.109,0.06,,0.04,0.093,0.105,0.1,0.058,0.087,0.126,0.126,,,,
09/27,0.095,0.112,0.098,0.098,0.02,,0.05,0.085,0.098,0.089,0.049,0.08,0.115,0.115,,,,
09/28,0.089,0.104,0.088,0.088,0.04,,0.03,0.075,0.087,0.083,0.046,0.071,0.103,0.103,,,,
09/29,0.087,0.102,0.085,0.085,0.05,,0.01,0.073,0.084,0.082,0.042,0.067,0.099,0.099,,,,
09/30,0.0,0.0,0.03,0.03,0.0,,0.0,0.078,0.089,0.0,0.0,0.006,0.009,0.009,,,,
10/01,,,0.098,0.098,,,,0.074,0.086,,,0.05,0.08,0.08,,,,
10/02,,,0.08,0.08,,,,0.071,0.083,,,0.03,0.05,0.05,,,,
10/03,,,0.085,0.085,,,,0.065,0.075,,,0.06,0.09,0.09,,,,
10/04,,,0.09,0.09,,,,0.067,0.076,,,0.06,0.09,0.09,,,,
10/05,,,0.085,0.085,,,,0.068,0.078,,,0.05,0.08,0.08,,,,
10/06,,,0.098,0.098,,,,0.071,0.081,,,0.06,0.09,0.09,,,,
10/07,,,0.095,0.095,,,,0.062,0.073,,,0.06,0.09,0.09,,,,
10/08,,,0.08,0.08,,,,0.053,0.064,,,0.03,0.05,0.05,,,,
10/09,,,0.08,0.08,,,,0.061,0.071,,,0.05,0.07,0.07,,,,
10/10,,,0.057,0.057,,,,0.06,0.07,,,0.03,0.04,0.04,,,,
10/11,,,0.065,0.065,,,,0.057,0.068,,,0.05,0.07,0.07,,,,
10/12,,,0.052,0.052,,,,0.049,0.058,,,0.03,0.05,0.05,,,,
10/13,,,0.062,0.062,,,,0.043,0.05,,,0.05,0.07,0.07,,,,
10/14,,,0.052,0.052,,,,0.045,0.054,,,0.05,0.07,0.07,,,,
10/15,,,0.077,0.077,,,,0.045,0.056,,,0.0,0.0,0.0,,,,
10/16,,,0.075,0.075,,,,0.055,0.066,,,,,,,,,
10/17,,,0.077,0.077,,,,0.06,0.074,,,,,,,,,
10/18,,,0.065,0.065,,,,0.039,0.049,,,,,,,,,
10/19,,,0.058,0.058,,,,0.038,0.045,,,,,,,,,
10/20,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,
