# Station Code,mdfo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,CBBG,FCRN,HAYM,HAYP,HOPS,LAWN,LETC,PAST,PEAR,PECH,POTA,SBRY,SCRN,SGRN,TBER,WGRN,WGRP
08/13,0.224,0.265,0.118,,0.254,0.25,0.27,0.31,0.213,,0.18,0.283,0.279,,0.072,0.235,,,,0.179
08/14,0.216,0.253,0.11,,0.235,0.16,0.17,0.2,0.203,,0.172,0.264,0.258,,0.064,0.24,,,,0.167
08/15,0.227,0.267,0.081,,0.245,0.21,0.23,0.25,0.213,,0.18,0.275,0.269,,0.058,0.105,,,,0.176
08/16,0.226,0.265,0.112,,0.239,0.22,0.24,0.26,0.213,,0.18,0.27,0.263,,0.066,0.21,,,,0.173
08/17,0.209,0.247,0.095,,0.223,0.19,0.21,0.22,0.197,,0.168,0.251,0.242,,0.059,0.21,,,,0.16
08/18,0.222,0.261,0.098,,0.234,0.2,0.22,0.23,0.208,,0.177,0.258,0.249,,0.054,0.2,,,,0.167
08/19,0.24,0.28,0.092,,0.25,0.24,0.26,0.27,0.223,,0.19,0.276,0.263,,0.055,0.19,,,,0.183
08/20,0.222,0.262,0.017,,0.233,0.26,0.28,0.28,0.21,,0.178,0.254,0.239,,0.03,0.0,,,,0.172
08/21,0.195,0.231,0.1,,0.199,0.21,0.23,0.23,0.184,,0.157,0.218,0.204,,0.04,,,,,0.148
08/22,0.193,0.228,0.09,,0.198,0.2,0.22,0.21,0.183,,0.155,0.214,0.198,,0.035,,,,,0.147
08/23,0.196,0.232,0.08,,0.198,0.19,0.21,0.2,0.185,,0.158,0.214,0.199,,0.043,,,,,0.15
08/24,0.201,0.235,0.08,,0.202,0.22,0.24,0.23,0.188,,0.158,0.212,0.195,,0.043,,,,,0.152
08/25,0.196,0.232,0.0,,0.182,0.19,0.21,0.19,0.185,,0.156,0.202,0.183,,0.025,,,,,0.15
08/26,0.208,0.245,,,0.212,0.19,0.21,0.19,0.196,,0.165,0.212,0.191,,0.05,,,,,0.161
08/27,0.198,0.233,,,0.195,0.22,0.23,0.21,0.187,,0.157,0.194,0.175,,0.04,,,,,0.152
08/28,0.191,0.225,,,0.193,0.14,0.16,0.13,0.179,,0.152,0.186,0.165,,0.03,,,,,0.145
08/29,0.198,0.232,,,0.195,0.19,0.21,0.17,0.185,,0.156,0.18,0.162,,0.03,,,,,0.149
08/30,0.193,0.225,,,0.193,0.16,0.17,0.14,0.178,,0.15,0.171,0.148,,0.03,,,,,0.147
08/31,0.188,0.221,,,0.184,0.18,0.2,0.16,0.176,,0.148,0.162,0.137,,0.015,,,,,0.142
09/01,0.189,0.222,,,0.144,0.21,0.22,0.17,0.178,,0.149,0.147,0.119,,0.0,,,,,0.142
09/02,0.191,0.224,,,0.182,0.13,0.14,0.1,0.178,,0.149,0.163,0.144,,,,,,,0.142
09/03,0.178,0.211,,,0.172,0.16,0.17,0.13,0.169,,0.14,0.139,0.119,,,,,,,0.135
09/04,0.168,0.198,,,0.158,0.12,0.13,0.09,0.158,,0.132,0.127,0.11,,,,,,,0.127
09/05,0.168,0.198,,,0.067,0.14,0.15,0.11,0.158,,0.132,0.103,0.089,,,,,,,0.126
09/06,0.168,0.197,,,0.183,0.15,0.16,0.11,0.158,,0.129,0.136,0.107,,,,,,,0.126
09/07,0.178,0.209,,,0.183,0.18,0.19,0.12,0.168,,0.138,0.139,0.103,,,,,,,0.136
09/08,0.202,0.238,,,0.167,0.17,0.19,0.12,0.192,,0.156,0.139,0.099,,,,,,,0.154
09/09,0.2,0.233,,,0.163,0.17,0.18,0.11,0.187,,0.152,0.129,0.092,,,,,,,0.151
09/10,0.182,0.212,,,0.097,0.2,0.21,0.12,0.17,,0.138,0.109,0.059,,,,,,,0.121
09/11,0.162,0.191,,,0.15,0.17,0.18,0.1,0.152,,0.125,0.125,0.092,,,,,,,0.128
09/12,0.167,0.195,,,0.165,0.18,0.2,0.11,0.155,,0.126,0.125,0.078,,,,,,,0.12
09/13,0.156,0.185,,,0.15,0.16,0.18,0.09,0.149,,0.117,0.113,0.08,,,,,,,0.122
09/14,0.162,0.19,,,0.16,0.11,0.12,0.06,0.152,,0.122,0.112,0.078,,,,,,,0.124
09/15,0.156,0.182,,,0.14,0.08,0.08,0.04,0.145,,0.118,0.057,0.0,,,,,,,0.098
09/16,0.138,0.163,,,0.12,0.05,0.06,0.03,0.132,,0.104,0.12,,,,,,,,0.109
09/17,0.128,0.152,,,0.11,0.09,0.1,0.05,0.121,,0.096,0.107,,,,,,,,0.098
09/18,0.132,0.157,,,0.1,0.13,0.14,0.06,0.127,,0.1,0.107,,,,,,,,0.098
09/19,0.132,0.155,,,0.115,0.14,0.15,0.07,0.123,,0.098,0.107,,,,,,,,0.097
09/20,0.135,0.161,,,0.0,0.15,0.17,0.07,0.13,,0.1,0.06,,,,,,,,0.023
09/21,0.126,0.148,,,,0.14,0.15,0.06,0.118,,0.093,0.18,,,,,,,,0.105
09/22,0.119,0.14,,,,0.12,0.13,0.05,0.111,,0.088,0.17,,,,,,,,0.1
09/23,0.12,0.142,,,,0.13,0.14,0.05,0.115,,0.088,0.18,,,,,,,,0.09
09/24,0.11,0.13,,,,0.14,0.15,0.06,0.104,,0.082,0.15,,,,,,,,0.065
09/25,0.125,0.146,,,,0.17,0.18,0.07,0.117,,0.089,0.14,,,,,,,,0.0
09/26,0.135,0.159,,,,0.14,0.15,0.05,0.128,,0.098,0.17,,,,,,,,
09/27,0.122,0.144,,,,0.1,0.12,0.04,0.115,,0.088,0.17,,,,,,,,
09/28,0.128,0.149,,,,0.13,0.15,0.05,0.118,,0.09,0.15,,,,,,,,
09/29,0.111,0.13,,,,0.16,0.18,0.06,0.105,,0.077,0.16,,,,,,,,
09/30,0.112,0.13,,,,0.11,0.13,0.04,0.103,,0.075,0.17,,,,,,,,
10/01,0.105,0.124,,,,0.12,0.13,0.04,0.099,,0.071,0.12,,,,,,,,
10/02,0.101,0.118,,,,0.12,0.13,0.04,0.095,,0.068,0.13,,,,,,,,
10/03,0.098,0.116,,,,0.11,0.13,0.04,0.094,,0.065,0.05,,,,,,,,
10/04,0.108,0.126,,,,0.12,0.13,0.04,0.101,,0.069,0.08,,,,,,,,
10/05,0.099,0.117,,,,0.11,0.13,0.04,0.093,,0.062,0.08,,,,,,,,
10/06,0.105,0.122,,,,0.12,0.13,0.04,0.097,,0.064,0.09,,,,,,,,
10/07,0.097,0.112,,,,0.06,0.07,0.02,0.089,,0.058,0.06,,,,,,,,
10/08,0.102,0.118,,,,0.11,0.13,0.04,0.095,,0.062,0.11,,,,,,,,
10/09,0.104,0.122,,,,0.13,0.16,0.04,0.097,,0.062,0.09,,,,,,,,
10/10,0.093,0.11,,,,0.12,0.14,0.04,0.089,,0.056,0.06,,,,,,,,
10/11,0.092,0.106,,,,0.07,0.08,0.02,0.085,,0.051,0.12,,,,,,,,
10/12,0.084,0.097,,,,0.09,0.11,0.03,0.078,,0.045,0.07,,,,,,,,
10/13,0.077,0.089,,,,0.09,0.11,0.03,0.072,,0.042,0.1,,,,,,,,
10/14,0.087,0.102,,,,0.08,0.1,0.03,0.082,,0.047,0.09,,,,,,,,
10/15,0.021,0.025,,,,0.09,0.11,0.0,0.038,,0.022,0.08,,,,,,,,
10/16,0.08,0.095,,,,0.09,0.11,,0.085,,0.063,0.09,,,,,,,,
10/17,0.085,0.1,,,,0.04,0.05,,0.085,,0.057,0.11,,,,,,,,
10/18,0.075,0.09,,,,0.06,0.07,,0.08,,0.053,0.1,,,,,,,,
10/19,0.075,0.085,,,,0.03,0.03,,0.08,,0.05,0.11,,,,,,,,
10/20,0.06,0.075,,,,0.05,0.06,,0.07,,0.047,0.09,,,,,,,,
10/21,0.08,0.09,,,,0.05,0.07,,0.073,,0.047,0.09,,,,,,,,
10/22,0.065,0.075,,,,0.05,0.06,,0.062,,0.033,0.09,,,,,,,,
10/23,0.055,0.065,,,,0.03,0.03,,0.052,,0.03,0.08,,,,,,,,
10/24,0.06,0.07,,,,0.04,0.05,,0.048,,0.023,0.07,,,,,,,,
10/25,0.065,0.075,,,,0.05,0.07,,0.055,,0.03,0.08,,,,,,,,
10/26,0.065,0.075,,,,0.05,0.07,,0.053,,0.03,0.07,,,,,,,,
10/27,0.085,0.095,,,,0.02,0.02,,0.068,,0.037,0.06,,,,,,,,
10/28,0.07,0.08,,,,0.03,0.04,,0.058,,0.033,0.05,,,,,,,,
10/29,0.095,0.115,,,,0.04,0.05,,0.07,,0.043,0.04,,,,,,,,
10/30,,,,,,,,,0.0,,0.0,0.03,,,,,,,,
10/31,,,,,,,,,,,,0.04,,,,,,,,
11/01,,,,,,,,,,,,0.05,,,,,,,,
11/02,,,,,,,,,,,,0.06,,,,,,,,
11/03,,,,,,,,,,,,0.03,,,,,,,,
11/04,,,,,,,,,,,,0.02,,,,,,,,
11/05,,,,,,,,,,,,0.01,,,,,,,,
11/06,,,,,,,,,,,,0.01,,,,,,,,
11/07,,,,,,,,,,,,0.02,,,,,,,,
11/08,,,,,,,,,,,,0.01,,,,,,,,
11/09,,,,,,,,,,,,0.01,,,,,,,,
11/10,,,,,,,,,,,,0.0,,,,,,,,
