# Station Code,hero
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,FCRN,LAWN,MELN,ONYN,PAST,PEAS,POP3,POTA,PPMT,RAPE,SCRN,SGRN,WGRN,WGRP
09/11,0.218,0.255,0.178,,0.25,0.203,,,0.168,,0.258,,,,,,,0.166
09/12,0.215,0.253,0.177,,0.21,0.203,,,0.164,,0.259,,,,,,,0.171
09/13,0.225,0.265,0.182,,0.29,0.213,,,0.172,,0.277,,,,,,,0.18
09/14,0.197,0.231,0.153,,0.195,0.185,,,0.149,,0.236,,,,,,,0.145
09/15,0.215,0.252,0.171,,0.21,0.202,,,0.162,,0.267,,,,,,,0.137
09/16,0.195,0.23,0.151,,0.15,0.185,,,0.145,,0.239,,,,,,,0.142
09/17,0.189,0.222,0.145,,0.14,0.177,,,0.14,,0.231,,,,,,,0.148
09/18,0.187,0.219,0.132,,0.12,0.176,,,0.138,,0.217,,,,,,,0.144
09/19,0.184,0.217,0.129,,0.155,0.175,,,0.136,,0.219,,,,,,,0.144
09/20,0.184,0.215,0.128,,0.0,0.171,,,0.135,,0.218,,,,,,,0.027
09/21,0.144,0.172,0.099,,,0.137,,,0.107,,0.174,,,,,,,0.07
09/22,0.188,0.22,0.127,,,0.175,,,0.137,,0.225,,,,,,,0.09
09/23,0.182,0.213,0.122,,,0.172,,,0.13,,0.23,,,,,,,0.105
09/24,0.162,0.188,0.104,,,0.15,,,0.116,,0.201,,,,,,,0.09
09/25,0.155,0.183,0.102,,,0.146,,,0.111,,0.195,,,,,,,0.0
09/26,0.177,0.208,0.108,,,0.166,,,0.127,,0.218,,,,,,,
09/27,0.148,0.175,0.092,,,0.141,,,0.108,,0.185,,,,,,,
09/28,0.147,0.173,0.083,,,0.139,,,0.102,,0.184,,,,,,,
09/29,0.145,0.172,0.077,,,0.138,,,0.101,,0.165,,,,,,,
09/30,0.162,0.19,0.082,,,0.151,,,0.109,,0.186,,,,,,,
10/01,0.132,0.155,0.048,,,0.124,,,0.086,,0.149,,,,,,,
10/02,0.135,0.158,0.068,,,0.126,,,0.088,,0.153,,,,,,,
10/03,0.132,0.155,0.066,,,0.125,,,0.085,,0.156,,,,,,,
10/04,0.139,0.166,0.073,,,0.134,,,0.09,,0.172,,,,,,,
10/05,0.117,0.137,0.007,,,0.11,,,0.072,,0.139,,,,,,,
10/06,0.131,0.155,0.06,,,0.125,,,0.078,,0.158,,,,,,,
10/07,0.138,0.162,0.05,,,0.129,,,0.082,,0.167,,,,,,,
10/08,0.122,0.142,0.05,,,0.114,,,0.07,,0.145,,,,,,,
10/09,0.112,0.13,0.05,,,0.105,,,0.063,,0.132,,,,,,,
10/10,0.125,0.148,0.05,,,0.118,,,0.07,,0.148,,,,,,,
10/11,0.132,0.154,0.04,,,0.124,,,0.07,,0.148,,,,,,,
10/12,0.116,0.136,0.05,,,0.108,,,0.061,,0.137,,,,,,,
10/13,0.109,0.128,0.04,,,0.102,,,0.058,,0.135,,,,,,,
10/14,0.117,0.137,0.02,,,0.11,,,0.058,,0.147,,,,,,,
10/15,0.016,0.018,0.0,,,0.014,,,0.01,,0.0,,,,,,,
10/16,0.075,0.085,,,,0.065,,,0.05,,,,,,,,,
10/17,0.105,0.125,,,,0.1,,,0.065,,,,,,,,,
10/18,0.105,0.12,,,,0.095,,,0.065,,,,,,,,,
10/19,0.08,0.09,,,,0.07,,,0.045,,,,,,,,,
10/20,0.075,0.085,,,,0.07,,,0.045,,,,,,,,,
10/21,0.075,0.09,,,,0.075,,,0.05,,,,,,,,,
10/22,0.125,0.145,,,,0.12,,,0.07,,,,,,,,,
10/23,0.065,0.075,,,,0.06,,,0.035,,,,,,,,,
10/24,0.085,0.1,,,,0.08,,,0.045,,,,,,,,,
10/25,0.13,0.15,,,,0.12,,,0.07,,,,,,,,,
10/26,0.095,0.11,,,,0.085,,,0.05,,,,,,,,,
10/27,0.055,0.065,,,,0.055,,,0.03,,,,,,,,,
10/28,0.085,0.1,,,,0.08,,,0.04,,,,,,,,,
10/29,0.09,0.105,,,,0.085,,,0.045,,,,,,,,,
