# Station Code,hrhw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,ASPA,BLGR,CGRP,CHRY,FCRN,HAYM,HAYP,HOPS,LAWN,MELN,PAST,PECH,POTA,PPMT,SCRN,SGRN,SPMT,WGRN,WGRP
07/26,0.275,0.325,0.325,0.288,0.33,0.275,0.328,0.325,0.261,0.292,0.335,0.261,0.211,0.218,0.348,0.296,0.312,0.323,0.28,0.311,0.37,0.211
07/27,0.268,0.313,0.313,0.282,0.33,0.268,0.312,0.313,0.249,0.28,0.32,0.249,0.202,0.212,0.336,0.285,0.302,0.312,0.268,0.301,0.32,0.202
07/28,0.267,0.312,0.312,0.282,0.25,0.267,0.318,0.312,0.248,0.278,0.328,0.248,0.202,0.212,0.335,0.282,0.294,0.311,0.247,0.293,0.34,0.202
07/29,0.282,0.331,0.331,0.302,0.29,0.282,0.347,0.328,0.265,0.295,0.357,0.265,0.215,0.225,0.357,0.298,0.308,0.327,0.27,0.307,0.35,0.215
07/30,0.282,0.33,0.33,0.305,0.27,0.282,0.339,0.328,0.263,0.294,0.354,0.263,0.215,0.223,0.356,0.296,0.302,0.327,0.242,0.301,0.33,0.215
07/31,0.266,0.312,0.312,0.292,0.28,0.266,0.323,0.31,0.251,0.279,0.341,0.251,0.203,0.212,0.337,0.279,0.291,0.31,0.237,0.291,0.31,0.203
08/01,0.255,0.3,0.3,0.28,0.32,0.255,0.299,0.298,0.24,0.266,0.318,0.24,0.195,0.203,0.323,0.267,0.254,0.297,0.227,0.254,0.24,0.195
08/02,0.265,0.311,0.311,0.292,0.3,0.265,0.314,0.308,0.248,0.276,0.336,0.248,0.203,0.211,0.335,0.275,0.289,0.307,0.258,0.289,0.37,0.203
08/03,0.252,0.297,0.297,0.281,0.23,0.252,0.295,0.293,0.238,0.264,0.319,0.238,0.193,0.202,0.318,0.264,0.274,0.292,0.247,0.274,0.44,0.193
08/04,0.26,0.305,0.305,0.292,0.26,0.26,0.298,0.301,0.245,0.272,0.322,0.245,0.199,0.207,0.328,0.267,0.273,0.299,0.22,0.273,0.36,0.199
08/05,0.244,0.287,0.287,0.278,0.27,0.244,0.272,0.281,0.23,0.256,0.298,0.23,0.186,0.195,0.306,0.248,0.09,0.28,0.158,0.161,0.24,0.186
08/06,0.247,0.289,0.289,0.281,0.27,0.247,0.273,0.283,0.231,0.258,0.299,0.231,0.188,0.196,0.309,0.248,0.253,0.282,0.227,0.264,0.28,0.188
08/07,0.259,0.304,0.304,0.295,0.27,0.259,0.289,0.298,0.243,0.268,0.318,0.243,0.198,0.205,0.325,0.262,0.273,0.295,0.243,0.27,0.29,0.198
08/08,0.252,0.296,0.296,0.288,0.2,0.252,0.271,0.288,0.237,0.262,0.304,0.237,0.193,0.202,0.315,0.254,0.283,0.285,0.223,0.278,0.31,0.193
08/09,0.243,0.285,0.285,0.28,0.22,0.243,0.265,0.275,0.228,0.252,0.297,0.228,0.186,0.192,0.302,0.24,0.27,0.272,0.227,0.27,0.28,0.186
08/10,0.245,0.29,0.29,0.288,0.15,0.245,0.267,0.28,0.232,0.257,0.302,0.232,0.175,0.197,0.308,0.243,0.06,0.275,0.21,0.152,0.34,0.188
08/11,0.248,0.291,0.291,0.288,0.17,0.248,0.274,0.279,0.232,0.258,0.308,0.232,0.19,0.197,0.308,0.242,0.21,0.276,0.193,0.26,0.27,0.189
08/12,0.239,0.281,0.281,0.278,0.16,0.239,0.254,0.265,0.225,0.248,0.286,0.225,0.181,0.19,0.296,0.235,0.21,0.263,0.217,0.23,0.33,0.182
08/13,0.233,0.275,0.275,0.274,0.19,0.233,0.243,0.261,0.219,0.243,0.278,0.219,0.176,0.187,0.288,0.229,0.25,0.257,0.207,0.253,0.26,0.178
08/14,0.228,0.268,0.268,0.268,0.18,0.228,0.236,0.253,0.214,0.235,0.271,0.214,0.172,0.182,0.278,0.221,0.25,0.247,0.197,0.257,0.25,0.174
08/15,0.231,0.271,0.271,0.271,0.19,0.231,0.246,0.255,0.217,0.236,0.282,0.217,0.107,0.184,0.281,0.222,0.0,0.247,0.187,0.177,0.28,0.176
08/16,0.245,0.288,0.288,0.288,0.17,0.245,0.259,0.272,0.228,0.252,0.297,0.228,0.196,0.195,0.298,0.234,,0.261,0.255,0.27,0.26,0.188
08/17,0.228,0.269,0.269,0.269,0.15,0.228,0.232,0.25,0.216,0.236,0.267,0.216,0.177,0.184,0.277,0.218,,0.243,0.24,0.275,0.27,0.176
08/18,0.243,0.285,0.284,0.285,0.14,0.243,0.253,0.264,0.227,0.25,0.289,0.227,0.186,0.195,0.291,0.228,,0.255,0.215,0.305,0.24,0.185
08/19,0.225,0.264,0.262,0.264,0.14,0.225,0.225,0.243,0.212,0.23,0.256,0.212,0.174,0.178,0.265,0.21,,0.232,0.19,0.25,0.17,0.173
08/20,0.22,0.257,0.254,0.257,0.14,0.22,0.217,0.235,0.205,0.224,0.246,0.205,0.073,0.174,0.252,0.202,,0.168,0.215,0.245,0.23,0.168
08/21,0.239,0.282,0.278,0.282,0.12,0.239,0.238,0.257,0.226,0.246,0.267,0.226,0.16,0.192,0.274,0.22,,0.236,0.2,0.31,0.23,0.185
08/22,0.218,0.255,0.252,0.255,0.11,0.218,0.219,0.232,0.204,0.222,0.246,0.204,0.173,0.175,0.248,0.198,,0.232,0.205,0.24,0.25,0.167
08/23,0.21,0.245,0.241,0.245,0.11,0.21,0.198,0.223,0.196,0.212,0.222,0.196,0.16,0.167,0.232,0.188,,0.219,0.17,0.25,0.2,0.16
08/24,0.212,0.249,0.24,0.249,0.12,0.212,0.204,0.225,0.199,0.216,0.225,0.199,0.16,0.17,0.23,0.188,,0.22,0.185,0.225,0.22,0.162
08/25,0.2,0.235,0.224,0.235,0.11,0.2,0.193,0.208,0.187,0.204,0.213,0.187,0.0,0.158,0.208,0.175,,0.156,0.175,0.225,0.22,0.152
08/26,0.206,0.243,0.23,0.243,0.1,0.206,0.195,0.216,0.194,0.211,0.213,0.194,,0.163,0.208,0.179,,0.19,0.185,0.23,0.25,0.158
08/27,0.219,0.257,0.24,0.257,0.1,0.219,0.202,0.228,0.205,0.224,0.218,0.205,,0.172,0.212,0.187,,0.214,0.145,0.245,0.17,0.167
08/28,0.208,0.245,0.228,0.245,0.1,0.208,0.188,0.215,0.195,0.212,0.203,0.195,,0.164,0.201,0.178,,0.22,0.135,0.255,0.16,0.16
08/29,0.212,0.248,0.226,0.248,0.05,0.212,0.193,0.214,0.198,0.215,0.201,0.198,,0.165,0.191,0.173,,0.203,0.115,0.275,0.18,0.162
08/30,0.216,0.253,0.227,0.253,0.09,0.216,0.194,0.219,0.202,0.219,0.202,0.202,,0.169,0.188,0.175,,0.214,0.135,0.24,0.19,0.166
08/31,0.205,0.24,0.212,0.24,0.11,0.205,0.179,0.205,0.192,0.208,0.183,0.192,,0.161,0.171,0.161,,0.185,0.16,0.225,0.22,0.155
09/01,0.199,0.235,0.203,0.235,0.1,0.199,0.171,0.201,0.188,0.203,0.177,0.188,,0.155,0.163,0.139,,0.075,0.105,0.225,0.21,0.154
09/02,0.208,0.245,0.207,0.245,0.08,0.208,0.179,0.208,0.195,0.212,0.182,0.195,,0.162,0.16,0.161,,0.18,0.17,0.23,0.17,0.159
09/03,0.195,0.228,0.188,0.228,0.09,0.195,0.162,0.194,0.182,0.198,0.162,0.182,,0.149,0.145,0.155,,0.19,0.16,0.23,0.16,0.149
09/04,0.185,0.217,0.177,0.217,0.07,0.185,0.15,0.182,0.175,0.187,0.148,0.175,,0.142,0.127,0.147,,0.18,0.17,0.205,0.17,0.14
09/05,0.194,0.228,0.184,0.228,0.06,0.163,0.156,0.148,0.182,0.197,0.149,0.182,,0.149,0.108,0.123,,0.113,0.14,0.22,0.14,0.149
09/06,0.178,0.21,0.165,0.21,0.07,0.181,0.141,0.185,0.168,0.181,0.139,0.168,,0.136,0.128,0.143,,0.19,0.15,0.235,0.15,0.136
09/07,0.187,0.22,0.171,0.22,0.07,0.186,0.143,0.186,0.175,0.187,0.135,0.175,,0.142,0.121,0.148,,0.175,0.16,0.245,0.16,0.142
09/08,0.186,0.218,0.162,0.218,0.07,0.18,0.145,0.175,0.173,0.187,0.132,0.175,,0.142,0.104,0.128,,0.16,0.15,0.175,0.15,0.142
09/09,0.197,0.231,0.17,0.231,0.06,0.195,0.138,0.19,0.185,0.198,0.127,0.185,,0.148,0.109,0.136,,0.18,0.15,0.215,0.15,0.151
09/10,0.187,0.218,0.157,0.218,0.05,0.148,0.124,0.136,0.172,0.187,0.112,0.174,,0.14,0.038,0.067,,0.0,0.16,0.22,0.16,0.141
09/11,0.173,0.204,0.144,0.204,0.05,0.168,0.113,0.161,0.162,0.174,0.1,0.163,,0.131,0.117,0.13,,,0.1,0.205,0.1,0.133
09/12,0.173,0.205,0.141,0.205,0.06,0.162,0.109,0.16,0.164,0.175,0.098,0.165,,0.131,0.12,0.14,,,0.08,0.16,0.08,0.135
09/13,0.169,0.202,0.136,0.202,0.05,0.158,0.103,0.152,0.158,0.173,0.09,0.162,,0.126,0.107,0.13,,,0.09,0.165,0.09,0.133
09/14,0.154,0.181,0.119,0.181,0.04,0.158,0.09,0.144,0.142,0.154,0.08,0.143,,0.113,0.093,0.115,,,0.1,0.14,0.1,0.118
09/15,0.157,0.184,0.119,0.139,0.03,0.152,0.054,0.011,0.145,0.156,0.075,0.146,,0.115,0.053,0.115,,,0.08,0.135,0.08,0.101
09/16,0.15,0.177,0.113,0.174,0.03,0.15,0.092,0.1,0.137,0.15,0.072,0.142,,0.112,0.07,0.103,,,0.1,0.13,0.1,0.115
09/17,0.146,0.169,0.107,0.158,0.03,0.139,0.085,0.08,0.131,0.146,0.069,0.135,,0.104,0.05,0.092,,,0.08,0.105,0.08,0.107
09/18,0.148,0.173,0.105,0.167,0.02,0.142,0.078,0.07,0.133,0.148,0.065,0.138,,0.108,0.055,0.098,,,0.07,0.125,0.07,0.113
09/19,0.149,0.177,0.103,0.178,0.04,0.144,0.073,0.11,0.137,0.149,0.063,0.141,,0.111,0.06,0.09,,,0.09,0.15,0.09,0.11
09/20,0.148,0.174,0.099,0.132,0.04,0.129,0.0,0.0,0.133,0.148,0.059,0.14,,0.106,0.0,0.0,,,0.12,0.085,0.12,0.026
09/21,0.141,0.166,0.092,0.158,0.04,0.136,,,0.128,0.141,0.055,0.133,,0.102,,,,,0.09,0.15,0.09,0.107
09/22,0.137,0.162,0.085,0.149,0.02,0.135,,,0.124,0.135,0.055,0.128,,0.097,,,,,0.11,0.1,0.11,0.083
09/23,0.13,0.155,0.082,0.155,0.03,0.135,,,0.118,0.128,0.049,0.125,,0.092,,,,,0.08,0.16,0.08,0.08
09/24,0.132,0.157,0.079,0.16,0.05,0.14,,,0.12,0.132,0.05,0.125,,0.093,,,,,0.07,0.15,0.07,0.087
09/25,0.135,0.16,0.072,0.066,0.04,0.056,,,0.122,0.134,0.043,0.127,,0.093,,,,,0.08,0.0,0.08,0.033
09/26,0.153,0.179,0.087,0.167,0.06,0.143,,,0.135,0.151,0.055,0.143,,0.103,,,,,0.08,,0.08,0.1
09/27,0.142,0.168,0.079,0.183,0.04,0.157,,,0.125,0.14,0.05,0.134,,0.094,,,,,0.08,,0.08,0.1
09/28,0.142,0.166,0.074,0.133,0.03,0.117,,,0.125,0.139,0.049,0.133,,0.092,,,,,0.08,,0.08,0.07
09/29,0.125,0.148,0.06,0.097,0.01,0.083,,,0.111,0.125,0.039,0.118,,0.078,,,,,0.08,,0.08,0.09
09/30,0.138,0.163,0.033,0.073,0.0,0.037,,,0.122,0.137,0.042,0.13,,0.084,,,,,0.06,,0.06,0.0
10/01,0.135,0.158,0.074,0.0,,0.1,,,0.117,0.132,0.041,0.128,,0.082,,,,,0.06,,0.06,
10/02,0.126,0.148,0.052,,,0.08,,,0.108,0.126,0.038,0.118,,0.075,,,,,0.07,,0.07,
10/03,0.125,0.145,0.06,,,0.07,,,0.106,0.122,0.037,0.116,,0.071,,,,,0.06,,0.06,
10/04,0.128,0.15,0.068,,,0.06,,,0.11,0.124,0.037,0.121,,0.072,,,,,0.05,,0.05,
10/05,0.121,0.143,0.0,,,0.03,,,0.102,0.118,0.037,0.114,,0.066,,,,,0.06,,0.06,
10/06,0.124,0.145,,,,0.07,,,0.106,0.12,0.037,0.115,,0.065,,,,,0.06,,0.06,
10/07,0.133,0.157,,,,0.09,,,0.112,0.131,0.038,0.126,,0.068,,,,,0.05,,0.05,
10/08,0.114,0.135,,,,0.09,,,0.096,0.112,0.03,0.107,,0.058,,,,,0.05,,0.05,
10/09,0.11,0.129,,,,0.05,,,0.091,0.106,0.029,0.103,,0.053,,,,,0.04,,0.04,
10/10,0.0,0.0,,,,0.06,,,0.097,0.112,0.002,0.0,,0.0,,,,,0.0,,0.0,
10/11,,,,,,0.14,,,0.093,0.109,0.02,,,,,,,,,,,
10/12,,,,,,0.09,,,0.081,0.094,0.01,,,,,,,,,,,
10/13,,,,,,0.04,,,0.076,0.089,0.03,,,,,,,,,,,
10/14,,,,,,0.03,,,0.082,0.096,0.02,,,,,,,,,,,
10/15,,,,,,0.05,,,0.073,0.085,0.0,,,,,,,,,,,
10/16,,,,,,0.06,,,0.078,0.093,,,,,,,,,,,,
10/17,,,,,,0.08,,,0.084,0.101,,,,,,,,,,,,
10/18,,,,,,0.08,,,0.08,0.093,,,,,,,,,,,,
10/19,,,,,,0.07,,,0.072,0.09,,,,,,,,,,,,
10/20,,,,,,0.04,,,0.066,0.08,,,,,,,,,,,,
10/21,,,,,,0.06,,,0.06,0.074,,,,,,,,,,,,
10/22,,,,,,0.11,,,0.075,0.093,,,,,,,,,,,,
10/23,,,,,,0.08,,,0.061,0.075,,,,,,,,,,,,
10/24,,,,,,0.09,,,0.05,0.062,,,,,,,,,,,,
10/25,,,,,,0.0,,,0.054,0.068,,,,,,,,,,,,
10/26,,,,,,,,,0.065,0.079,,,,,,,,,,,,
10/27,,,,,,,,,0.053,0.064,,,,,,,,,,,,
10/28,,,,,,,,,0.055,0.064,,,,,,,,,,,,
10/29,,,,,,,,,0.041,0.049,,,,,,,,,,,,
10/30,,,,,,,,,0.0,0.0,,,,,,,,,,,,
