# Station Code,hrmo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:32
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BLGR,FCRN,HAYM,HAYP,LAWN,MELN,ONYN,PAST,PEAS,POTA,PPMT,RAPE,SCRN,SGRN,WGRN,WGRP
08/14,0.277,0.325,0.329,0.139,,0.32,0.25,0.274,0.261,0.22,0.181,0.221,0.09,0.249,,,0.272,,,0.214
08/15,0.283,0.333,0.342,0.106,,0.329,0.272,0.296,0.261,0.03,0.063,0.223,0.08,0.254,,,0.204,,,0.223
08/16,0.279,0.328,0.333,0.148,,0.318,0.298,0.324,0.263,0.23,0.265,0.224,0.09,0.245,,,0.293,,,0.215
08/17,0.299,0.352,0.359,0.152,,0.344,0.308,0.334,0.286,0.25,0.225,0.242,0.09,0.259,,,0.303,,,0.235
08/18,0.291,0.342,0.347,0.147,,0.331,0.296,0.32,0.273,0.36,0.23,0.232,0.1,0.248,,,0.297,,,0.227
08/19,0.274,0.322,0.315,0.12,,0.3,0.24,0.262,0.25,0.16,0.145,0.211,0.07,0.219,,,0.277,,,0.207
08/20,0.283,0.329,0.317,0.037,,0.302,0.242,0.26,0.259,0.0,0.0,0.219,0.05,0.171,,,0.067,,,0.209
08/21,0.292,0.343,0.328,0.115,,0.312,0.228,0.248,0.272,,,0.234,0.05,0.201,,,0.18,,,0.217
08/22,0.251,0.294,0.29,0.125,,0.275,0.235,0.252,0.234,,,0.198,0.05,0.197,,,0.23,,,0.192
08/23,0.268,0.315,0.312,0.1,,0.297,0.253,0.275,0.253,,,0.217,0.04,0.209,,,0.26,,,0.208
08/24,0.278,0.327,0.317,0.105,,0.303,0.28,0.302,0.261,,,0.22,0.07,0.207,,,0.23,,,0.216
08/25,0.228,0.268,0.256,0.0,,0.248,0.217,0.235,0.214,,,0.182,0.0,0.089,,,0.11,,,0.176
08/26,0.256,0.299,0.28,,,0.276,0.263,0.283,0.242,,,0.203,,0.188,,,0.23,,,0.198
08/27,0.267,0.314,0.283,,,0.282,0.242,0.26,0.257,,,0.214,,0.18,,,0.23,,,0.204
08/28,0.25,0.294,0.257,,,0.259,0.228,0.25,0.234,,,0.198,,0.192,,,0.23,,,0.186
08/29,0.276,0.325,0.282,,,0.287,0.26,0.28,0.257,,,0.214,,0.192,,,0.28,,,0.208
08/30,0.275,0.322,0.285,,,0.289,0.282,0.305,0.261,,,0.218,,0.216,,,0.27,,,0.211
08/31,0.273,0.321,0.271,,,0.28,0.242,0.262,0.257,,,0.216,,0.154,,,0.27,,,0.206
09/01,0.237,0.276,0.232,,,0.243,0.212,0.233,0.219,,,0.182,,0.018,,,0.0,,,0.182
09/02,0.236,0.278,0.221,,,0.234,0.205,0.22,0.222,,,0.183,,0.12,,,,,,0.175
09/03,0.241,0.282,0.226,,,0.242,0.237,0.258,0.224,,,0.188,,0.2,,,,,,0.179
09/04,0.227,0.266,0.216,,,0.234,0.237,0.258,0.209,,,0.174,,0.18,,,,,,0.176
09/05,0.226,0.267,0.21,,,0.231,0.227,0.248,0.205,,,0.168,,0.0,,,,,,0.174
09/06,0.196,0.229,0.177,,,0.196,0.207,0.227,0.178,,,0.146,,,,,,,,0.147
09/07,0.215,0.253,0.191,,,0.217,0.22,0.243,0.194,,,0.16,,,,,,,,0.165
09/08,0.243,0.286,0.205,,,0.237,0.238,0.262,0.226,,,0.188,,,,,,,,0.182
09/09,0.23,0.271,0.198,,,0.226,0.19,0.21,0.218,,,0.177,,,,,,,,0.175
09/10,0.22,0.259,0.185,,,0.193,0.182,0.197,0.208,,,0.169,,,,,,,,0.153
09/11,0.207,0.242,0.17,,,0.203,0.183,0.202,0.199,,,0.163,,,,,,,,0.158
09/12,0.201,0.236,0.163,,,0.195,0.175,0.19,0.193,,,0.156,,,,,,,,0.155
09/13,0.21,0.248,0.17,,,0.206,0.17,0.19,0.208,,,0.168,,,,,,,,0.165
09/14,0.183,0.217,0.142,,,0.179,0.163,0.182,0.181,,,0.144,,,,,,,,0.137
09/15,0.202,0.237,0.16,,,0.067,0.187,0.207,0.194,,,0.156,,,,,,,,0.131
09/16,0.184,0.217,0.142,,,0.17,0.157,0.178,0.177,,,0.141,,,,,,,,0.138
09/17,0.166,0.195,0.128,,,0.19,0.157,0.175,0.158,,,0.123,,,,,,,,0.13
09/18,0.173,0.205,0.123,,,0.18,0.145,0.163,0.166,,,0.132,,,,,,,,0.137
09/19,0.177,0.208,0.125,,,0.18,0.153,0.175,0.163,,,0.128,,,,,,,,0.131
09/20,0.178,0.208,0.123,,,0.073,0.15,0.172,0.165,,,0.128,,,,,,,,0.024
09/21,0.143,0.169,0.096,,,0.08,0.118,0.135,0.137,,,0.107,,,,,,,,0.075
09/22,0.165,0.195,0.112,,,0.16,0.163,0.187,0.152,,,0.117,,,,,,,,0.1
09/23,0.163,0.192,0.109,,,0.145,0.165,0.188,0.151,,,0.117,,,,,,,,0.1
09/24,0.154,0.178,0.098,,,0.13,0.148,0.172,0.139,,,0.108,,,,,,,,0.085
09/25,0.143,0.168,0.092,,,0.035,0.133,0.153,0.136,,,0.102,,,,,,,,0.0
09/26,0.162,0.192,0.097,,,0.11,0.16,0.185,0.147,,,0.112,,,,,,,,
09/27,0.148,0.175,0.09,,,0.16,0.143,0.165,0.143,,,0.107,,,,,,,,
09/28,0.14,0.166,0.08,,,0.15,0.133,0.155,0.132,,,0.098,,,,,,,,
09/29,0.14,0.166,0.075,,,0.05,0.103,0.122,0.132,,,0.097,,,,,,,,
09/30,0.145,0.172,0.074,,,0.0,0.093,0.11,0.139,,,0.099,,,,,,,,
10/01,0.132,0.157,0.048,,,,0.095,0.112,0.123,,,0.087,,,,,,,,
10/02,0.138,0.162,0.07,,,,0.108,0.128,0.131,,,0.09,,,,,,,,
10/03,0.125,0.148,0.063,,,,0.105,0.123,0.118,,,0.08,,,,,,,,
10/04,0.134,0.158,0.068,,,,0.13,0.152,0.12,,,0.078,,,,,,,,
10/05,0.119,0.139,0.009,,,,0.113,0.133,0.11,,,0.072,,,,,,,,
10/06,0.128,0.15,0.07,,,,0.102,0.125,0.119,,,0.076,,,,,,,,
10/07,0.132,0.156,0.07,,,,0.103,0.127,0.122,,,0.076,,,,,,,,
10/08,0.119,0.141,0.07,,,,0.113,0.137,0.101,,,0.062,,,,,,,,
10/09,0.104,0.122,0.06,,,,0.095,0.115,0.094,,,0.057,,,,,,,,
10/10,0.119,0.14,0.06,,,,0.103,0.123,0.113,,,0.068,,,,,,,,
10/11,0.119,0.141,0.06,,,,0.09,0.108,0.11,,,0.065,,,,,,,,
10/12,0.111,0.128,0.05,,,,0.093,0.112,0.093,,,0.052,,,,,,,,
10/13,0.108,0.125,0.04,,,,0.097,0.115,0.094,,,0.052,,,,,,,,
10/14,0.105,0.123,0.02,,,,0.088,0.112,0.093,,,0.049,,,,,,,,
10/15,0.0,0.0,0.0,,,,0.042,0.05,0.014,,,0.01,,,,,,,,
10/16,,,,,,,0.07,0.085,0.11,,,0.08,,,,,,,,
10/17,,,,,,,0.085,0.1,0.1,,,0.07,,,,,,,,
10/18,,,,,,,0.09,0.105,0.1,,,0.07,,,,,,,,
10/19,,,,,,,0.08,0.1,0.1,,,0.07,,,,,,,,
10/20,,,,,,,0.09,0.105,0.08,,,0.05,,,,,,,,
10/21,,,,,,,0.075,0.09,0.1,,,0.06,,,,,,,,
10/22,,,,,,,0.045,0.055,0.08,,,0.05,,,,,,,,
10/23,,,,,,,0.085,0.105,0.08,,,0.05,,,,,,,,
10/24,,,,,,,0.05,0.07,0.06,,,0.04,,,,,,,,
10/25,,,,,,,0.055,0.07,0.11,,,0.06,,,,,,,,
10/26,,,,,,,0.055,0.07,0.14,,,0.08,,,,,,,,
10/27,,,,,,,0.055,0.07,0.09,,,0.05,,,,,,,,
10/28,,,,,,,0.035,0.045,0.06,,,0.03,,,,,,,,
10/29,,,,,,,0.04,0.05,0.06,,,0.03,,,,,,,,
10/30,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,,
