# Station Code,imbo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,BLGR,CHRY,FCRN,GARL,LAWN,PAST,PEAS,POP3,POTA,PPMT,RAPE,SCRN,SGRN,SOYB,WGRN
09/05,0.188,0.221,0.16,0.025,0.192,,0.161,0.205,,0.177,0.145,0.0,0.225,0.175,,,0.107,,,
09/06,0.175,0.205,0.18,0.11,0.178,,0.146,0.196,,0.164,0.135,,0.217,0.166,,,0.235,,,
09/07,0.188,0.221,0.15,0.08,0.19,,0.153,0.203,,0.178,0.144,,0.226,0.173,,,0.205,,,
09/08,0.191,0.223,0.17,0.09,0.19,,0.154,0.2,,0.178,0.145,,0.223,0.168,,,0.235,,,
09/09,0.186,0.22,0.18,0.08,0.187,,0.148,0.198,,0.175,0.143,,0.223,0.163,,,0.24,,,
09/10,0.181,0.212,0.15,0.0,0.179,,0.142,0.18,,0.17,0.139,,0.208,0.152,,,0.19,,,
09/11,0.182,0.215,0.15,,0.182,,0.137,0.19,,0.172,0.138,,0.212,0.149,,,0.175,,,
09/12,0.168,0.198,0.15,,0.165,,0.121,0.171,,0.158,0.125,,0.193,0.137,,,0.195,,,
09/13,0.177,0.208,0.14,,0.174,,0.122,0.181,,0.166,0.132,,0.206,0.142,,,0.175,,,
09/14,0.17,0.201,0.14,,0.165,,0.115,0.178,,0.161,0.126,,0.203,0.137,,,0.205,,,
09/15,0.173,0.203,0.08,,0.165,,0.111,0.168,,0.162,0.128,,0.205,0.113,,,0.155,,,
09/16,0.158,0.185,0.08,,0.151,,0.097,0.155,,0.148,0.117,,0.184,0.125,,,0.2,,,
09/17,0.156,0.183,0.09,,0.148,,0.089,0.146,,0.145,0.115,,0.186,0.126,,,0.19,,,
09/18,0.124,0.145,0.07,,0.115,,0.07,0.124,,0.115,0.092,,0.146,0.1,,,0.175,,,
09/19,0.136,0.159,0.08,,0.125,,0.074,0.14,,0.126,0.098,,0.158,0.093,,,0.195,,,
09/20,0.148,0.173,0.09,,0.136,,0.015,0.115,,0.138,0.106,,0.175,0.068,,,0.12,,,
09/21,0.137,0.162,0.09,,0.125,,0.1,0.124,,0.131,0.098,,0.161,0.103,,,0.165,,,
09/22,0.123,0.145,0.09,,0.112,,0.08,0.111,,0.115,0.088,,0.152,0.087,,,0.095,,,
09/23,0.135,0.158,0.09,,0.122,,0.09,0.131,,0.126,0.096,,0.162,0.097,,,0.11,,,
09/24,0.13,0.153,0.1,,0.117,,0.09,0.113,,0.123,0.092,,0.152,0.084,,,0.11,,,
09/25,0.134,0.156,0.06,,0.118,,0.0,0.081,,0.124,0.093,,0.156,0.014,,,0.13,,,
09/26,0.132,0.155,0.08,,0.115,,,0.107,,0.125,0.089,,0.145,0.09,,,0.135,,,
09/27,0.15,0.176,0.07,,0.132,,,0.125,,0.142,0.099,,0.172,0.11,,,0.14,,,
09/28,0.122,0.143,0.07,,0.105,,,0.103,,0.115,0.078,,0.137,0.1,,,0.115,,,
09/29,0.115,0.135,0.07,,0.098,,,0.1,,0.109,0.072,,0.127,0.05,,,0.105,,,
09/30,0.106,0.125,0.0,,0.075,,,0.0,,0.102,0.064,,0.119,0.0,,,0.07,,,
10/01,0.104,0.122,,,0.084,,,,,0.098,0.065,,0.118,,,,0.14,,,
10/02,0.115,0.135,,,0.094,,,,,0.108,0.068,,0.133,,,,0.17,,,
10/03,0.12,0.142,,,0.104,,,,,0.113,0.067,,0.144,,,,0.19,,,
10/04,0.109,0.128,,,0.093,,,,,0.103,0.062,,0.133,,,,0.13,,,
10/05,0.106,0.124,,,0.0,,,,,0.098,0.058,,0.128,,,,0.13,,,
10/06,0.103,0.122,,,,,,,,0.097,0.055,,0.128,,,,0.11,,,
10/07,0.108,0.128,,,,,,,,0.105,0.055,,0.132,,,,0.1,,,
10/08,0.098,0.114,,,,,,,,0.091,0.048,,0.11,,,,0.09,,,
10/09,0.106,0.125,,,,,,,,0.099,0.051,,0.124,,,,0.11,,,
10/10,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,
