# Station Code,pmai
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,FCRN,LAWN,ONYN,PAST,PEAS,POTA,POTS,PPMT,SCRN,SGRN,WGRN,WGRP
09/18,0.145,0.171,0.104,,0.137,0.143,0.137,,0.106,,0.07,0.05,,,0.11,0.11,0.11
09/19,0.148,0.175,0.104,,0.14,0.145,0.139,,0.108,,0.083,0.04,,,0.08,0.08,0.115
09/20,0.161,0.19,0.108,,0.15,0.158,0.152,,0.116,,0.0,0.0,,,0.1,0.1,0.061
09/21,0.136,0.16,0.092,,0.125,0.132,0.128,,0.098,,,,,,0.07,0.07,0.095
09/22,0.136,0.162,0.087,,0.127,0.134,0.128,,0.098,,,,,,0.08,0.08,0.107
09/23,0.146,0.172,0.091,,0.133,0.14,0.138,,0.104,,,,,,0.07,0.07,0.1
09/24,0.145,0.17,0.086,,0.131,0.138,0.137,,0.101,,,,,,0.06,0.06,0.107
09/25,0.147,0.172,0.076,,0.132,0.038,0.137,,0.101,,,,,,0.07,0.07,0.0
09/26,0.146,0.172,0.084,,0.132,0.15,0.137,,0.098,,,,,,0.07,0.07,
09/27,0.143,0.168,0.079,,0.126,0.127,0.134,,0.093,,,,,,0.08,0.08,
09/28,0.137,0.159,0.071,,0.12,0.12,0.128,,0.086,,,,,,0.09,0.09,
09/29,0.125,0.146,0.059,,0.11,0.113,0.117,,0.078,,,,,,0.09,0.09,
09/30,0.138,0.162,0.027,,0.111,0.0,0.13,,0.083,,,,,,0.07,0.07,
10/01,0.122,0.14,0.062,,0.102,,0.111,,0.072,,,,,,0.05,0.05,
10/02,0.128,0.15,0.06,,0.112,,0.12,,0.076,,,,,,0.06,0.06,
10/03,0.136,0.16,0.07,,0.112,,0.129,,0.078,,,,,,0.05,0.05,
10/04,0.102,0.12,0.048,,0.083,,0.097,,0.058,,,,,,0.04,0.04,
10/05,0.091,0.108,0.0,,0.017,,0.086,,0.05,,,,,,0.04,0.04,
10/06,0.105,0.124,,,0.08,,0.098,,0.056,,,,,,0.04,0.04,
10/07,0.118,0.14,,,0.077,,0.112,,0.062,,,,,,0.04,0.04,
10/08,0.105,0.122,,,0.09,,0.096,,0.052,,,,,,0.04,0.04,
10/09,0.115,0.134,,,0.093,,0.108,,0.056,,,,,,0.03,0.03,
10/10,0.0,0.0,,,0.053,,0.0,,0.0,,,,,,0.0,0.0,
10/11,,,,,0.08,,,,,,,,,,,,
10/12,,,,,0.077,,,,,,,,,,,,
10/13,,,,,0.063,,,,,,,,,,,,
10/14,,,,,0.073,,,,,,,,,,,,
10/15,,,,,0.0,,,,,,,,,,,,
